Date,RSXFS,INDPRO,UMCSENT,CPIAUCSL,DFF,UNRATE,GDPC1,Close_AAPL,Close_GOOGL,Close_MSFT,Close_BABA,Close_WMT
2019-08-01,456082.0,102.7814,89.8,256.036,2.14,3.6,,52.10749816894530,60.5890007019043,138.05999755859400,165.64999389648400,37.62666702270510
2019-08-02,456082.0,102.7814,89.8,256.036,2.14,3.6,,51.005001068115200,59.81600189208980,136.89999389648400,161.0,37.65999984741210
2019-08-03,456082.0,102.7814,89.8,256.036,2.14,3.6,,,,,,37.973331451416000
2019-08-04,456082.0,102.7814,89.8,256.036,2.14,3.6,,,,,,38.20000076293950
2019-08-05,456082.0,102.7814,89.8,256.036,2.13,3.6,,48.334999084472700,57.73749923706060,132.2100067138670,153.6699981689450,38.32666778564450
2019-08-06,456082.0,102.7814,89.8,256.036,2.13,3.6,,49.25,58.55400085449220,134.69000244140600,157.42999267578100,38.253334045410200
2019-08-07,456082.0,102.7814,89.8,256.036,2.12,3.6,,49.7599983215332,58.795501708984400,135.27999877929700,159.1699981689450,38.20000076293950
2019-08-08,456082.0,102.7814,89.8,256.036,2.12,3.6,,50.85749816894530,60.30950164794920,138.88999938964800,162.22000122070300,38.2400016784668
2019-08-09,456082.0,102.7814,89.8,256.036,2.12,3.6,,50.247501373291000,59.44499969482420,137.7100067138670,159.1199951171880,37.96666717529300
2019-08-10,456082.0,102.7814,89.8,256.036,2.12,3.6,,,,,,37.606666564941400
2019-08-11,456082.0,102.7814,89.8,256.036,2.12,3.6,,,,,,37.36333465576170
2019-08-12,456082.0,102.7814,89.8,256.036,2.12,3.6,,50.119998931884800,58.724998474121100,135.7899932861330,159.30999755859400,37.33333206176760
2019-08-13,456082.0,102.7814,89.8,256.036,2.12,3.6,,52.24250030517580,59.83649826049810,138.60000610351600,164.02999877929700,37.40666580200200
2019-08-14,456082.0,102.7814,89.8,256.036,2.12,3.6,,50.6875,58.212501525878900,133.97999572753900,162.05999755859400,37.67333221435550
2019-08-15,456082.0,102.7814,89.8,256.036,2.13,3.6,,50.435001373291000,58.46599960327150,133.67999267578100,166.97000122070300,37.42333221435550
2019-08-16,456082.0,102.7814,89.8,256.036,2.13,3.6,,51.625,58.96049880981450,136.1300048828130,174.60000610351600,37.35333251953130
2019-08-17,456082.0,102.7814,89.8,256.036,2.13,3.6,,,,,,36.793331146240200
2019-08-18,456082.0,102.7814,89.8,256.036,2.13,3.6,,,,,,36.459999084472700
2019-08-19,456082.0,102.7814,89.8,256.036,2.13,3.6,,52.587501525878900,60.02199935913090,138.41000366210900,178.27999877929700,36.46666717529300
2019-08-20,456082.0,102.7814,89.8,256.036,2.13,3.6,,52.59000015258790,59.17649841308590,137.25999450683600,177.2100067138670,35.27333450317380
2019-08-21,456082.0,102.7814,89.8,256.036,2.12,3.6,,53.15999984741210,59.57899856567380,138.7899932861330,175.24000549316400,35.75666809082030
2019-08-22,456082.0,102.7814,89.8,256.036,2.12,3.6,,53.1150016784668,59.57600021362310,137.77999877929700,171.91000366210900,36.06666564941410
2019-08-23,456082.0,102.7814,89.8,256.036,2.12,3.6,,50.65999984741210,57.67900085449220,133.38999938964800,164.5399932861330,36.17333221435550
2019-08-24,456082.0,102.7814,89.8,256.036,2.12,3.6,,,,,,35.7599983215332
2019-08-25,456082.0,102.7814,89.8,256.036,2.12,3.6,,,,,,35.073333740234400
2019-08-26,456082.0,102.7814,89.8,256.036,2.12,3.6,,51.622501373291000,58.55899810791020,135.4499969482420,165.89999389648400,35.8033332824707
2019-08-27,456082.0,102.7814,89.8,256.036,2.12,3.6,,51.040000915527300,58.54100036621090,135.74000549316400,166.1999969482420,35.400001525878900
2019-08-28,456082.0,102.7814,89.8,256.036,2.12,3.6,,51.38249969482420,58.6875,135.55999755859400,167.47999572753900,37.563331604003900
2019-08-29,456082.0,102.7814,89.8,256.036,2.12,3.6,,52.252498626709000,59.71200180053710,138.1199951171880,172.80999755859400,37.663333892822300
2019-08-30,456082.0,102.7814,89.8,256.036,2.13,3.6,,52.185001373291000,59.5265007019043,137.86000061035200,175.02999877929700,37.936668395996100
2019-08-31,456082.0,102.7814,89.8,256.036,2.13,3.6,,,,,,37.349998474121100
2019-09-01,452230.0,102.4601,93.2,256.43,2.13,3.5,,,,,,37.34000015258790
2019-09-02,452230.0,102.4601,93.2,256.43,2.13,3.5,,,,,,37.3033332824707
2019-09-03,452230.0,102.4601,93.2,256.43,2.13,3.5,,51.42499923706060,58.477500915527300,136.0399932861330,172.41000366210900,36.94333267211910
2019-09-04,452230.0,102.4601,93.2,256.43,2.13,3.5,,52.29750061035160,59.11349868774410,137.6300048828130,174.3300018310550,37.33000183105470
