Date,RSXFS,INDPRO,UMCSENT,CPIAUCSL,DFF,UNRATE,GDPC1,Close_AAPL_stock_data,Close_GOOGL_stock_data,Close_MSFT_stock_data,Close_BABA_stock_data,Close_WMT_stock_data
2023-08-01,603784.0,103.0951,69.4,306.187,5.33,3.8,,195.61000061035200,131.5500030517580,336.3399963378910,100.0999984741210,52.369998931884800
2023-08-02,603784.0,103.0951,69.4,306.187,5.33,3.8,,192.5800018310550,128.3800048828130,327.5,95.06999969482420,51.163333892822300
2023-08-03,603784.0,103.0951,69.4,306.187,5.33,3.8,,191.1699981689450,128.4499969482420,326.6600036621090,97.58000183105470,51.62666702270510
2023-08-04,603784.0,103.0951,69.4,306.187,5.33,3.8,,181.9900054931640,128.11000061035200,327.7799987792970,96.9000015258789,51.54999923706060
2023-08-05,603784.0,103.0951,69.4,306.187,5.33,3.8,,,,,,51.68000030517580
2023-08-06,603784.0,103.0951,69.4,306.187,5.33,3.8,,,,,,51.37666702270510
2023-08-07,603784.0,103.0951,69.4,306.187,5.33,3.8,,178.85000610351600,131.52999877929700,330.1099853515630,96.55999755859380,51.5533332824707
2023-08-08,603784.0,103.0951,69.4,306.187,5.33,3.8,,179.8000030517580,131.39999389648400,326.04998779296900,94.22000122070310,51.616668701171900
2023-08-09,603784.0,103.0951,69.4,306.187,5.33,3.8,,178.19000244140600,129.66000366210900,322.2300109863280,94.8499984741211,51.52333450317380
2023-08-10,603784.0,103.0951,69.4,306.187,5.33,3.8,,177.97000122070300,129.69000244140600,322.92999267578100,99.20999908447270,51.540000915527300
2023-08-11,603784.0,103.0951,69.4,306.187,5.33,3.8,,177.7899932861330,129.55999755859400,321.010009765625,95.72000122070310,52.49333190917970
2023-08-12,603784.0,103.0951,69.4,306.187,5.33,3.8,,,,,,52.790000915527300
2023-08-13,603784.0,103.0951,69.4,306.187,5.33,3.8,,,,,,53.099998474121100
2023-08-14,603784.0,103.0951,69.4,306.187,5.33,3.8,,179.4600067138670,131.3300018310550,324.0400085449220,93.45999908447270,53.05666732788090
2023-08-15,603784.0,103.0951,69.4,306.187,5.33,3.8,,177.4499969482420,129.77999877929700,321.8599853515630,91.58999633789060,53.246665954589800
2023-08-16,603784.0,103.0951,69.4,306.187,5.33,3.8,,176.57000732421900,128.6999969482420,320.3999938964840,89.12000274658200,53.0533332824707
2023-08-17,603784.0,103.0951,69.4,306.187,5.33,3.8,,174.0,129.9199981689450,316.8800048828130,90.6500015258789,53.3033332824707
