Datetime,Open,High,Low,Close,Adj Close,Volume,AAPL,MSFT,GOOGL,META,WMT,BABA,SMA_20,SMA_50,MACD,MACD_Signal,MACD_Hist,RSI,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,Interest_Rate,Inflation_Rate,GDP_Growth,Unemployment_Rate,Revenue,Net_Income,Gross_Profit,Total_Debt,Operating_Cash_Flow
2023-07-11 09:30:00-04:00,127.75,129.77000427246094,127.3499984741211,128.6699981689453,128.6699981689453,18124046,188.11000061035156,328.81500244140625,116.72000122070312,294.4798889160156,51.46949768066406,89.93000030517578,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 10:30:00-04:00,128.6699981689453,129.30999755859375,128.10000610351562,128.35000610351562,128.35000610351562,6674239,187.71499633789062,329.7300109863281,117.18119812011719,297.2297058105469,51.45500183105469,90.05999755859375,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 11:30:00-04:00,128.34010314941406,129.10000610351562,128.08999633789062,128.57989501953125,128.57989501953125,4825334,187.61500549316406,330.45001220703125,117.16999816894531,297.5799865722656,51.48167037963867,90.32499694824219,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 12:30:00-04:00,128.5800018310547,128.99000549316406,128.4499969482422,128.52999877929688,128.52999877929688,3731965,187.41000366210938,331.0299987792969,117.12999725341797,297.8699951171875,51.46333312988281,91.01000213623047,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 13:30:00-04:00,128.52999877929688,128.64999389648438,127.99500274658203,128.25,128.25,3714591,186.88099670410156,330.7300109863281,116.7300033569336,296.3599853515625,51.4283332824707,91.38999938964844,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 14:30:00-04:00,128.25,128.5850067138672,128.02000427246094,128.4250030517578,128.4250030517578,3926041,187.13720703125,331.2799987792969,116.84500122070312,297.19000244140625,51.46000289916992,91.79000091552734,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-11 15:30:00-04:00,128.4199981689453,128.99000549316406,128.2449951171875,128.77000427246094,128.77000427246094,4634150,188.05050659179688,332.4700012207031,117.12999725341797,298.260009765625,51.5533332824707,91.80000305175781,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-12 09:30:00-04:00,130.30999755859375,131.25999450683594,130.00999450683594,130.0749969482422,130.0749969482422,14297394,190.35000610351562,340.4549865722656,119.91000366210938,306.9949951171875,51.86333084106445,93.84500122070312,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-12 10:30:00-04:00,130.0800018310547,130.4600067138672,129.25999450683594,129.97999572753906,129.97999572753906,7437981,189.52999877929688,338.5,119.44999694824219,307.2056884765625,51.85556411743164,94.19000244140625,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
2023-07-12 11:30:00-04:00,129.97999572753906,130.0399932861328,128.8300018310547,129.2449951171875,129.2449951171875,6112887,189.15499877929688,336.79998779296875,118.77999877929688,306.739990234375,51.86000061035156,94.12010192871094,,,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,,,,,5.12,0.20559007641371974,1.1938709626620136,3.5,574785000000.0,30425000000.0,93805000000.0,325979000000.0,84946000000.0
