,Date,Open,High,Low,Close,Adj Close,Volume,SMA_7,SMA_14,SMA_30,SMA_50,SMA_200,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ABER_ZG_5_15,ABER_SG_5_15,ABER_XG_5_15,ABER_ATR_5_15,Adj Close_A_BBL_20_2.0,ACCBL_20,ACCBM_20,ACCBU_20,AD,ADOSC_3_10,ADX_14,DMP_14,DMN_14,ALMA_10_6.0_0.85,AMATe_LR_8_21_2,AMATe_SR_8_21_2,AO_5_34,OBV,OBV_min_2,OBV_max_2,OBVe_4,OBVe_12,AOBV_LR_2,AOBV_SR_2,APO_12_26,AROOND_14,AROONU_14,AROONOSC_14,ATRr_14,Adj Close_B_BBL_20_2.0,BIAS_SMA_26,BOP,AR_26,BR_26,CCI_14_0.015,CFO_9,CG_10,CMO_14,COPC_11_14_10,CTI_12,ER_10,BULLP_13,BEARP_13,FISHERT_9_1,FISHERTs_9_1,INERTIA_20_14,K_9_3,D_9_3,J_9_3,KST_10_15_20_30_10_10_10_15,KSTs_9,MOM_10,PGO_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,PSL_12,PVO_12_26_9,PVOh_12_26_9,PVOs_12_26_9,QQE_14_5_4.236,QQE_14_5_4.236_RSIMA,QQEl_14_5_4.236,QQEs_14_5_4.236,ROC_10,RSX_14,RVGI_14_4,RVGIs_14_4,SLOPE_1,SMI_5_20_5,SMIs_5_20_5,SMIo_5_20_5,SQZ_20_2.0_20_1.5,SQZ_ON,SQZ_OFF,SQZ_NO,SQZPRO_20_2.0_20_2_1.5_1,SQZPRO_ON_WIDE,SQZPRO_ON_NORMAL,SQZPRO_ON_NARROW,SQZPRO_OFF,SQZPRO_NO,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,STOCHk_14_3_3,STOCHd_14_3_3,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,TD_SEQ_UP,TD_SEQ_DN,TRIX_30_9,TRIXs_30_9,TSI_13_25_13,TSIs_13_25_13,UO_7_14_28,WILLR_14,DEMA_10,EMA_10,FWMA_10,HILO_13_21,HILOl_13_21,HILOs_13_21,HL2,HLC3,HMA_10,HWMA_0.2_0.1_0.1,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,JMA_7_0,KAMA_10_2_30,LR_14,MIDPOINT_2,OHLC4,PWMA_10,SINWMA_14,SSF_10_2,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,T3_10_0.7,TEMA_10,TRIMA_10,VIDYA_14,VWAP_D,VWMA_10,WCP,ZL_EMA_10,LOGRET_1,PCTRET_1,ENTP_10,KURT_30,MAD_30,MEDIAN_30,QTL_30_0.5,SKEW_30,STDEV_30,TOS_STDEVALL_LR,TOS_STDEVALL_L_1,TOS_STDEVALL_U_1,TOS_STDEVALL_L_2,TOS_STDEVALL_U_2,TOS_STDEVALL_L_3,TOS_STDEVALL_U_3,VAR_30,ZS_30,CHOP_14_1_100,CKSPl_10_3_20,CKSPs_10_3_20,LDECAY_5,DEC_1,DPO_20,INC_1,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,QS_10,TTM_TRND_6,VHF_28,VTXP_14,VTXM_14,DCL_20_20,DCM_20_20,DCU_20_20,HWM,HWU,HWL,KCLe_20_2,KCBe_20_2,KCUe_20_2,MASSI_9_25,NATR_14,PDIST,RVI_14,THERMO_20_2_0.5,THERMOma_20_2_0.5,THERMOl_20_2_0.5,THERMOs_20_2_0.5,TRUERANGE_1,UI_14,RSXFS,INDPRO,UMCSENT,CPIAUCSL,DFF,UNRATE,GDPC1,Close_AAPL_stock_data,Close_GOOGL_stock_data,Close_MSFT_stock_data,Close_BABA_stock_data,Close_WMT_stock_data
0,2023-07-06,128.25,128.72999572753906,127.37000274658203,128.36000061035156,128.36000061035156,40639900.0,,,,,,,,,,,,,,,,,,,0.0,,,,18527190.929388467,,,,,,0.0,0.0,,40639900.0,,,,,0.0,0.0,,,,,,0.0,,0.08088321917231862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,128.04999923706055,128.15333302815756,,128.36000061035156,,,,,138.41000366210938,,,,,128.17749977111816,,,182.8522161635533,0.0,1.0,,,,,,,128.15333302815756,,128.20499992370605,,,,,,,,,,,120.95659041397248,98.81438178135741,143.09879904658754,76.67217314874236,165.2410076792026,54.52996451612729,187.38321631181765,,,,,,128.36000061035156,0.0,,0.0,,,0.02,0.0,,-1.0,,,,,,,128.36000061035156,128.36000061035156,128.36000061035156,,,,,,,,,,0.0,0.0,,,,,,,5.08,,,191.809997558594,120.110000610352,341.269989013672,83.8399963378906,
1,2023-07-07,128.58999633789062,130.97000122070312,128.1300048828125,129.77999877929688,129.77999877929688,41928700.0,,,,,,,,,,,,,,,,,,,0.0,,,,25318341.84223058,,,,,,0.0,0.0,,82568600.0,40639900.0,82568600.0,,,0.0,0.0,,,,,,0.0,,0.41901548446717746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4199981689453125,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,129.5500030517578,129.62666829427084,,128.67382020568851,,,,,140.57000732421875,,,,129.06999969482422,129.36750030517578,,,162.36273995875825,,1.0,,,,,,,129.62666829427084,,129.66500091552734,,0.011001878790426247,0.011062622017709689,,,,,,,,121.24375253564229,99.10154390302722,143.38596116825735,76.95933527041217,165.5281698008724,54.8171266377971,187.67037843348749,,,,,,129.77999877929688,0.0,,1.0,127.37000274658203,,0.04,0.0,,-1.0,,,,,,,128.67382020568851,128.67382020568851,128.67382020568851,,,,,,4.7199859619140625,,2.2400054931640625,,0.0,0.0,2.839996337890625,,,,,,5.08,,,190.679992675781,119.480003356934,337.220001220703,90.5500030517578,
2,2023-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,
3,2023-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,
4,2023-07-10,129.07000732421875,129.27999877929688,125.91999816894531,127.12999725341797,127.12999725341797,61889300.0,,,,,,,,,,,,,,,,,,,0.0,,,,8004031.565710493,,,,,,0.0,0.0,,20679300.0,20679300.0,82568600.0,,,0.0,0.0,,,,,,0.0,,-0.5773838447600147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6500015258789062,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,127.5999984741211,127.44333140055339,,128.36514619131475,,,,,137.6699981689453,,,,128.45499801635742,127.85000038146973,,,145.01588609258476,,1.0,,,,,,,127.44333140055339,,127.36499786376953,,-0.020630536429565062,-0.020419182854096718,,,,,,,,121.5309146573121,99.38870602469703,143.67312328992716,77.24649739208198,165.8153319225422,55.10428875946691,187.95754055515727,,,,,,129.5799987792969,1.0,,0.0,,130.97000122070312,0.02,1.0,,-1.0,,,,,,,128.36514619131475,128.36514619131475,128.36514619131475,,,,,,5.489982604980469,,2.2100067138671875,,0.0,0.0,3.8600006103515625,,,,,,5.07,,,188.610000610352,116.449996948242,331.829986572266,90.5599975585938,
5,2023-07-11,127.75,129.77000427246094,127.3499984741211,128.77999877929688,128.77999877929688,49951500.0,,,,,,,,,,,,,,,,,,,0.0,,,,17085993.62847945,,,,,,0.0,0.0,,70630800.0,20679300.0,70630800.0,53629650.0,,0.0,0.0,,,,,,0.0,,0.42561831050300286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6500015258789062,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,128.56000137329102,128.63333384195963,,128.45667108689207,,,,,135.07000732421875,,,,127.95499801635742,128.41250038146973,,,133.77131147355465,,1.0,,,,,,,128.63333384195963,,128.67000007629395,,0.01289534927354112,0.012978852839820476,,,,,,,,121.8180767789819,99.67586814636684,143.96028541159697,77.53365951375179,166.10249404421202,55.39145088113672,188.2447026768271,,,,,,128.77999877929688,0.0,,1.0,,130.97000122070312,0.02,0.0,,-1.0,,,,,,,128.45667108689207,128.80647546603993,128.10686670774422,,,,,,4.430015563964844,,1.4300003051757812,,0.0,0.0,2.6400070190429688,,,,,,5.08,,,188.080001831055,117.139999389648,332.470001220703,91.7900009155273,
6,2023-07-12,130.30999755859375,131.25999450683594,128.8300018310547,130.8000030517578,130.8000030517578,54022800.0,,,,,,,,,,,,,,,128.8306666056315,,,,0.0,,,,50656035.37363807,,,,,,0.0,0.0,,124653600.0,70630800.0,124653600.0,82039230.0,,0.0,0.0,,,,,,0.0,,0.20164895888277698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0200042724609375,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,130.0449981689453,130.29666646321616,,128.9836411128277,,,,,133.97999572753906,,,,129.79000091552734,130.29999923706055,,,128.39476487341474,,1.0,,,,,,,130.29666646321616,,130.42250061035156,,0.015563949723523061,0.01568569880112225,,,,,,,,122.10523890065171,99.96303026803665,144.24744753326678,77.8208216354216,166.38965616588183,55.67861300280653,188.53186479849688,,,,,,130.8000030517578,0.0,,1.0,125.91999816894531,,0.02,1.0,,-1.0,,,,,,,128.9836411128277,129.49617021754537,128.47111200811005,,,,,,5.8999786376953125,,1.489990234375,,0.0,0.0,2.4799957275390625,,,,,,5.08,,,189.770004272461,118.930000305176,337.200012207031,94.0,
7,2023-07-13,134.0399932861328,134.6699981689453,132.7100067138672,134.3000030517578,134.3000030517578,61170900.0,,,,,,,,,,,,,,,129.97866719563802,,,,0.0,,,,88732003.75510946,,,,,,0.0,0.0,,185824500.0,124653600.0,185824500.0,123553338.0,,0.0,0.0,,,,,,0.0,,0.13265862203191903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,133.69000244140625,133.8933359781901,,130.22183793566802,,,,,133.22000122070312,,,,132.5500030517578,133.93000030517578,,,127.67888568726951,,1.0,,,,,,,133.8933359781901,,133.99500274658203,,0.026406663898050423,0.026758409161619312,,,,,,,,122.39240102232154,100.25019238970647,144.5346096549366,78.1079837570914,166.67681828755167,55.96577512447635,188.81902692016672,,,,,,134.3000030517578,0.0,,1.0,126.02679809570313,,0.04,0.0,,1.0,,,,,,,130.22183793566802,130.71869964130852,129.72497623002752,,,,,,6.89996337890625,,3.8800048828125,,0.0,0.0,3.8699951171875,,,,,,5.08,,,190.539993286133,124.540000915527,342.660003662109,96.6100006103516,
8,2023-07-14,134.05999755859375,136.64999389648438,134.05999755859375,134.67999267578125,134.67999267578125,54388100.0,130.5471420288086,,,,,,,,,,,,,,131.07933247884114,,,,0.0,,,,60382825.84916029,,,,,,0.0,0.0,,240212600.0,185824500.0,240212600.0,170217042.8,,0.0,0.0,,,,,,0.0,,0.2393806925968257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3799896240234375,,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,135.35499572753906,135.12999471028647,,131.39704138952894,,,,,134.67999267578125,134.2524854368316,,,134.48999786376953,134.86249542236328,,,129.15713092363015,,1.0,,,,,,,135.12999471028647,,135.01749420166016,,0.0028254136578632553,0.002829408900884234,,,,,,,,122.67956314399134,100.53735451137628,144.8217717766064,78.39514587876121,166.96398040922148,56.25293724614616,189.10618904183653,,,,,,134.67999267578125,0.0,,1.0,126.37252609863282,,0.06,0.0,,1.0,,,,,,,131.39704138952894,132.14007669716793,130.65400608188995,,,,,,4.8000030517578125,,1.9799957275390625,,0.0,0.0,2.589996337890625,,,,,,5.08,,,190.690002441406,125.419998168945,345.239990234375,94.5599975585938,
9,2023-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,
